"req_id","customerid","businessid"
"12021050618590899822","4500284636",TCL20210500000149
"12021052714050903993","4500335947",TCL20210500002286
"12021050815100900193","3000636524",TCL20210500000353
"12021053116590963055","4500345984",TCL20210500002600
"12021051716200901729","4500317881",TCL20210500001266
"12021051915340902132","3001040364",TCL20210500001521
"12021060412310963735","4500348785",TCL20210600000373
"12018112914410002901","3000366807",TCL20181100000083
"12019051711080016727","3000344381",TCL20190500000447
"12019052315110018623","3000427081",TCL20190500000759
"12019082914000064517","3000419686",TCL20190800000962
"12019090911310069330","3000569318",TCL20190900000232
"12019103111360104704","3000613382",TCL20191000000738
"12019122614330149803","3000653620",TCL20191200001633
"12020010815320171230","3000245282",TCL20200100000460
"12020042814310327920","3000833545",TCL20200400001162
"12020031913540266501","3000642923",TCL20200300001297
"12020042815000327928","3000826789",TCL20200400001166
"12020052621240366610","3000670136",TCL20200500001820
"12020050811280342817","3000850148",TCL20200500000341
"12020051812420364986","3000873805",_作废TCL20200500001129
"12020051113350349014","3000856252",TCL20200500000602
"12020051213390349248","3000430144",TCL20200500000727
"12020051317150349504","3000864918",TCL20200500000873
"12020051817380365058","3000875893",TCL20200500001203
"12020052416530366201","3000889413",TCL20200500001629
"12020052518380366426","3000892407",TCL20200500001723
"12020050712430339502","3000848084",TCL20200500000215
"12020052910180381029","3000161087",TCL20200500001976
"12020060117000381473","3000608123",TCL20200600000057
"12020060816060395071","3000921453",TCL20200600000425
"12020061317270396274","3000915702",_作废TCL20200600000898
"12020061413040396344","3000937866",TCL20200600000913
"12020061115230395835","3000931850",TCL20200600000728
"12020061617420410350","3000943088",_作废TCL20200600001117
"12020060118510381493","3000907912",TCL20200600000071
"12020062914480429718","3000510692",TCL20200600002005
"12020061812360410769","3000623500",TCL20200600001271
"12020062814480429441","3000865235",TCL20200600001902
"12020063015330430008","3000979938",TCL20200600002109
"12020062316490412103","3000959417",TCL20200600001686
"12020070214140430471","3000983043",TCL20200700000138
"12020070717480446823","3000987842",TCL20200700000500
"12020071011540447526","3000992503",TCL20200700000761
"12020070618120446581","3000560642",_作废TCL20200700000398
"12020070514140430959","3000985307",TCL20200700000313
"12020070711330446652","3000677308",TCL20200700000432
"12020071716150462770","3000662844",_作废TCL20200700001383
"12020072412000464127","3001018046",_作废TCL20200700001841
"12020072114510463406","3001012656",TCL20200700001582
"12020071512230448527","3001001766",TCL20200700001155
"12020072013570463133","3000987062",TCL20200700001471
"12020072711210478144","3000383989",TCL20200700001926
"12020072123180463523","3001013502",TCL20200700001636
"12020080714540480426","3000660702",TCL20200800000391
"12020080512250479934","3000756689",TCL20200800000209
"12020072918000478736","4000594289",TCL20200700002129
"12020080415180479769","3001036330",TCL20200800000155
"12020080611210480143","3000855985",TCL20200800000286
"12020072814030478418","3000824471",TCL20200700002028
"12020080712090480380","3001040642",TCL20200800000344
"12020073118000479236","3000636935",TCL20200700002169
"12020073111340479100","3000999089",TCL20200700002269
